Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94578301,24.84606073,24.31933717,27.07337286,20.64524079,23.73027422,19.32790224,12.01669065,14.46185738,17.09651542,-2.041702048,13.16330511,2.416150395,13.73219373,10.89649005,3.549894835,-1.698071867,1.888913379,4.965456162,9.543735879,14.29338054,15.190107,14.73689322,,,
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.20787725,14.48022216,28.87681621,26.05546064,33.53599818,41.18765332,43.45458346,41.49897042,38.65885832,27.65786789,36.98734332,37.88854989,37.23299939,32.02988195,29.96672177,25.02132654,24.42924754,23.35194559,25.1731937,23.32241963,
Albania,ALB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,27.81122631,28.41000043,28.24256658,26.06075559,23.7252669,26.82826807,18.77775792,-10.95198896,-11.99358089,11.20820812,3.10983688,16.35751101,16.1361937,5.573432448,17.35954526,14.89343736,25.94104928,29.50456097,25.93866668,26.63900665,29.47267673,30.25591505,29.07798087,23.94817393,17.6516112,17.32852957,19.96305637,20.54371604,19.63082043,17.74112307,15.93724254,16.85711946,17.0533263,16.54664478,16.81177005,14.02051742,
Andorra,AND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.24117678,41.8846729,41.83545712,45.31491625,31.46203989,36.86423816,41.08053808,39.33639447,36.40985843,33.43218609,24.49886399,23.91216278,26.92255278,28.69639042,,
United Arab Emirates,ARE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,34.04870673,32.50771112,30.17940548,25.21609673,22.98843021,19.88025687,18.35859879,18.53762718,17.62226268,17.68614515,14.78330546,15.19790162,17.60908321,13.6301814,16.04337666,13.56185603,13.65162817,16.25052791,15.64836245,16.51163227,17.13007736,16.66428243,16.12973433,13.66191638,14.3684377,14.21407282,21.34317688,21.73453301,13.78283487,13.70860973,21.39021435,22.21114752,21.10145807,18.29532296,17.30528056,17.34843039,16.05516478,14.95436211,15.75200992,14.1426047,14.63811953,13.07625229,14.42411905,15.79636285,
Armenia,ARM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.439410992,2.568829582,-2.12991702,1.787589054,3.914112763,0.756174311,2.834055513,-0.927016863,5.411983631,10.24540583,16.34181182,19.7148351,24.30731709,28.54483369,28.60069226,27.90492035,14.04755692,13.20076363,11.09572312,14.0967332,14.83671889,13.28125739,18.43038559,17.81446519,16.91277114,15.47335372,10.24148941,
American Samoa,ASM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
