Country Name,Score,GDP,Savings,Inflation
Finland,7.769,48782.78848,24.07598874,1.02409393
Denmark,7.6,60170.34264,31.54089473,0.758131573
Norway,7.5539999999999985,75419.63487000001,33.26905809,2.167730033
Iceland,7.494,66944.83308,26.00181209,3.013971792
Netherlands,7.487999999999999,52331.31673,31.22837487,2.633699102
Switzerland,7.48,81993.72713,35.32536578,0.362916005
Sweden,7.343,51615.02065,29.42997894,1.784150974
New Zealand,7.307,42084.35337,,1.6196319019999998
Canada,7.278,46194.72523,19.89560352,1.949269024
Austria,7.246,50137.66278,28.47421897,1.530895534
Australia,7.228,55060.3261,22.4658318,1.610767873
Costa Rica,7.167000000000002,12243.81143,14.21580488,2.096202566
Israel,7.1389999999999985,43592.08358,24.74969728,0.841596534
Luxembourg,7.09,114704.5942,16.6868263,1.7433207569999998
United Kingdom,7.0539999999999985,42330.11754,13.32963066,1.738104601
Ireland,7.021,78660.95646,35.92976805,0.939044481
Germany,6.985,46445.2491,28.52241787,1.445667015
Belgium,6.922999999999999,46420.66377,25.29884613,1.43681957
United States,6.892,65297.51751000001,18.71229697,1.812210075
Czech Republic,6.852,23494.5962,26.21744458,2.847875959
United Arab Emirates,6.825,43103.32306,,-1.931081148
Malta,6.726,29820.60325,27.52530993,1.642060018
Mexico,6.595,9946.033829,23.69361456,3.635961421
France,6.5920000000000005,40493.92857,23.39519988,1.108254923
Taiwan,6.4460000000000015,,,
Chile,6.444,14896.45387,18.87340558,2.557544757
Guatemala,6.436,4619.985258,16.91219863,3.69998398
Saudi Arabia,6.375,23139.79866,33.57432538,-2.093333333
Qatar,6.374,62088.06183,45.00292882,-0.666641125
Spain,6.354,29600.37825,22.91076676,0.699536242
Panama,6.3210000000000015,15731.01603,29.95146524,-0.355083821
Brazil,6.3,8717.186278,12.19270051,3.732976212
Uruguay,6.292999999999998,16190.12696,12.98625123,7.881988709
Singapore,6.2620000000000005,65233.28244,42.83411619,0.565260569
El Salvador,6.252999999999999,4187.250031000001,17.04115754,0.075324135
Italy,6.223,33228.23668,21.03943563,0.611246944
Bahrain,6.199,23503.977130000007,,1.005820047
Slovakia,6.198,,,
Trinidad & Tobago,6.192,,,
